name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance 64 GB,184.99,"5,6000","2,32",2.89,Black / Gray,10,30
Corsair Vengeance 32 GB,105.99,"5,6400","2,16",3.312,Black,10,32
TEAMGROUP T-Create Expert 32 GB,90.99,"5,6400","2,16",2.843,Black,10,32
Corsair Vengeance 64 GB,269.99,"5,6800","2,32",4.219,Black / Gray,9.412,32
TEAMGROUP Elite 32 GB,69.98,"5,5600","2,16",2.187,Black,16.429,46
Patriot Viper Steel 64 GB,84.99,"4,3600","2,32",1.328,Silver / Black,10,18
Silicon Power SP016GLLTU160N22 16 GB,14.79,"3,1600","2,8",0.924,Green,13.75,11
G.Skill Trident Z RGB 32 GB,80.73,"4,3200","2,16",2.523,Black,10,16
Crucial Pro 64 GB,89.99,"4,3200","2,32",1.406,Black / Green,13.75,22
G.Skill Trident Z Neo 32 GB,77.98,"4,3600","2,16",2.437,Black / Silver,8.889,16
Silicon Power XPOWER Zenith Gaming 64 GB,169.97,"5,6000","2,32",2.656,Black,10,30
Kingston FURY Beast RGB 128 GB,430.86,"5,5200","4,32",3.366,Black,15.385,40
Corsair Dominator Platinum RGB 128 GB,,"4,3200","8,16",,Black,10,16
ADATA XPG Lancer Blade RGB 32 GB,104.99,"5,6000","2,16",3.281,Black,10,30
Kingston FURY Beast 32 GB,87.99,"5,5600","2,16",2.75,Black,12.857,36
Corsair Dominator Titanium 64 GB,264.99,"5,6000","2,32",4.14,White,10,30
Patriot Signature Line 32 GB,68.98,"5,4800","2,16",2.156,Black,16.667,40
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"4,2666","1,128",,Green / Black,16.504,22
Patriot Viper Venom 32 GB,98.99,"5,7000","2,16",3.093,Black / White,9.143,32
Timetec PINNACLE Konduit 16 GB,24.99,"4,3200","2,8",1.562,White,10,16
Corsair Vengeance 32 GB,91.99,"5,5200","2,16",2.875,Black,15.385,40
G.Skill Trident Z5 Neo 32 GB,107.99,"5,6000","2,16",3.375,Black,10,30
Corsair Vengeance RGB 96 GB,339.99,"5,6000","2,48",3.542,Black / Silver,10,30
Corsair Vengeance RGB 64 GB,229.99,"5,6400","2,32",3.594,White,10,32
Lexar Ares RGB 32 GB,118.44,"5,6000","2,16",3.701,Black,10,30
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8400","2,24",5.416,White,9.524,40
TEAMGROUP Vulcan Z 16 GB,28.99,"4,3600","2,8",1.812,Black,10,18
Corsair Vengeance RGB 32 GB,126.99,"5,6000","2,16",3.968,White / Silver,10,30
TEAMGROUP T-Force Delta RGB 32 GB,99.03,"4,3600","2,16",3.095,Black,10,18
Corsair Dominator Titanium 32 GB,167.99,"5,6000","2,16",5.25,Black,10,30
G.Skill Ripjaws S5 64 GB,189.99,"5,6000","2,32",2.969,Black,10,30
G.Skill Ripjaws S5 32 GB,99.99,"5,6400","2,16",3.125,Black,10,32
VisionTek 900390 2 GB,9.18,"3,1600","1,2",4.59,Black,10,8
G.Skill Trident Z5 RGB 48 GB,219.99,"5,8000","2,24",4.583,Black,10,40
Corsair Vengeance RGB Pro 32 GB,81.99,"4,3200","2,16",2.562,Black,10,16
Samsung M378A1K43CB2-CRC 8 GB,12.97,"4,2400","1,8",1.621,Green,14.167,17
G.Skill Ripjaws V 16 GB,32.99,"4,3600","2,8",2.062,Black,10,18
Corsair Dominator Titanium 64 GB,,"5,6000","2,32",,Black,10,30
G.Skill Ripjaws V 32 GB,62.99,"4,4000","2,16",1.968,Black,9,18
Kingston FURY Beast 16 GB,49.99,"5,5600","2,8",3.124,Black / Silver,12.857,36
G.Skill Trident Z5 Neo RGB 32 GB,179.99,"5,6000","2,16",5.625,Black,8.667,26
Corsair Dominator Titanium 64 GB,329.99,"5,6400","4,16",5.156,White,10,32
G.Skill Trident Z5 RGB 32 GB,169.99,"5,8000","2,16",5.312,Black,9.5,38
Kingston FURY Beast 16 GB,39.99,"4,3200","1,16",2.499,Black,10,16
G.Skill Ripjaws S5 64 GB,139.99,"5,6000","2,32",2.187,Black,12,36
G.Skill Ripjaws V 64 GB,99.99,"4,3600","2,32",1.562,Black,10,18
Crucial CT2K8G48C40U5 16 GB,41.99,"5,4800","2,8",2.624,Black,16.667,40
Corsair Vengeance 16 GB,75.98,"3,1600","2,8",4.749,Black / Yellow,11.25,9
TEAMGROUP T-Force Delta RGB 16 GB,37.99,"4,3200","2,8",2.374,White,10,16
Corsair Vengeance RGB 32 GB,92.99,"5,6000","2,16",2.906,Black / Gray,12,36
Kingston HyperX Fury 8 GB,55.49,"4,2666","1,8",6.936,Black,12.003,16
Patriot Viper Xtreme 5 32 GB,129.99,"5,8200","2,16",4.062,Black,9.268,38
Corsair Dominator Platinum RGB 64 GB,329.99,"5,6600","4,16",5.156,Black,9.697,32
Silicon Power XPOWER Turbine 32 GB,42.97,"4,3200","2,16",1.343,Blue,10,16
G.Skill Trident Z5 RGB 32 GB,139.99,"5,7600","2,16",4.375,Black,9.474,36
G.Skill Trident Z5 Royal 48 GB,279.99,"5,8400","2,24",5.833,Silver,9.524,40
Silicon Power XPOWER Zenith Gaming 64 GB,169.97,"5,6000","2,32",2.656,White,10,30
Corsair Vengeance LPX 64 GB,112,"4,3600","2,32",1.75,Black,10,18
Kingston FURY Beast 32 GB,74.98,"4,3600","2,16",2.343,Black,10,18
Corsair Vengeance LPX 16 GB,39.99,"4,3000","2,8",2.499,Black / Yellow,10,15
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"5,6400","2,16",3.75,White,9.375,30
TEAMGROUP T-Create Classic 32 GB,78.98,"5,5600","2,16",2.468,Black,16.429,46
Kingston FURY 128 GB,421.41,"5,5600","4,32",3.292,White,14.286,40
G.Skill Trident Z5 RGB 64 GB,149.99,"5,6000","2,32",2.344,Black,12,36
Kingston Server Premier 64 GB,224.09,"4,3200","1,64",3.501,,13.75,22
G.Skill Ripjaws S5 64 GB,177.99,"5,5600","2,32",2.781,Black,10,28
Patriot Viper Venom RGB 32 GB,76.98,"5,5600","2,16",2.406,Black / White,12.857,36
