name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Corsair M75 AIR,59.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,26000,Right,Black
Keychron M3,49,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech G203 Lightsync,25.95,Optical,Wired,8000,Right,Purple
Logitech M705,29.99,Laser,Wireless,,Right,Black
MSI CLUTCH GM51,97.99,Optical,"Wired, Wireless",26000,Right,Black
Asus TUF Gaming M4 Air,49.99,Optical,Wired,16000,Right,Black
Corsair KATAR ELITE,79.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
ROCCAT Kone AIMO Remastered,163.78,Optical,Wired,16000,Right,White
Razer Cobra Pro w/Dock Pro,,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech M570,114.72,Trackball,Wireless,,Right,Black
MSI Clutch GM11,36.5,Optical,Wired,5000,Right,Black
Razer Viper Ultimate,144.99,Optical,Wireless,20000,Both,Black
Asus P704 ROG CHAKRAM,191.9,Optical,Wireless,16000,Right,Black
Logitech MX Ergo S Plus,99.99,Trackball,"Wired, Wireless, Bluetooth Wireless",2048,Right,Black
HP HyperX Pulsefire Haste 2 Core,42.99,Optical,"Wireless, Bluetooth Wireless",12000,Right,Black
Asus ROG Strix Impact III,29.99,Optical,Wired,12000,Right,Black
Logitech M185,13.97,Laser,Wireless,,Both,Black
ninjutso Sora V2,,Optical,Wireless,26000,Right,Black
Razer DeathAdder 2013,39.99,Optical,Wired,6400,Right,Black
SteelSeries Aerox 3 (2022),39.99,Optical,Wired,8500,Right,Black
SteelSeries Aerox 5,59.08,Optical,Wired,18000,Right,Black
Logitech MX Master,189.98,Laser,Bluetooth Wireless,1600,Right,Brown / Black
Razer Lancehead,221.15,Laser,Wireless,16000,Both,Black / Green
GALAX HOF Ace M2,24.99,Optical,"Wired, Wireless",38000,Right,Black
Verbatim 99768 Commuter,7.99,Optical,Wireless,,Both,White
Razer Orochi V2,69.95,Optical,Wireless,18000,Right,Black
Logitech MX518,199.95,Optical,Wired,16000,Right,Black
Logitech PRO X SUPERLIGHT 2 DEX,159,Optical,"Wired, Wireless",44000,Right,Pink
Keychron M3 Mini,49.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech G502 Hero K/DA,,Optical,Wired,25600,Right,White / Blue
Cooler Master MM712,49.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,Black
Logitech G102 LIGHTSYNC RGB,28,Optical,Wired,8000,Right,White
V7 Full size USB Optical Mouse,,Optical,Wired,1000,Both,Silver / Black
Asus ProArt Mouse MD300,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",4200,Right,Black
Logitech G403 Prodigy,69.98,Optical,Wired,12000,Right,Black
Logitech G900 CHAOS SPECTRUM,74.98,Optical,Wireless,12000,Both,Black
Logitech M510,31.85,Laser,Wireless,1000,Right,Black
Glorious Model O 2,49.99,Optical,Wired,26000,Right,White
Genius DX 120,,Optical,Wired,1000,Both,Black
Asus ROG Gladius III AimPoint,79.99,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,White
Glorious Model D-,24.19,Optical,Wired,12000,Right,White
Corsair SABRE RGB PRO CHAMPION SERIES,80,Optical,Wired,18000,Right,Black
Asus TUF Gaming M4 Wireless,39.99,Optical,Wireless,,Right,Black
Logitech M185,13.97,Optical,Wireless,,Both,Gray
NZXT Lift 2 Ergo,20.98,Optical,Wired,26000,Right,Black
SteelSeries Prime Mini,32.19,Optical,"Wired, Wireless",18000,Right,Black
Glorious Model O 2,49.99,Optical,Wired,26000,Right,Black
Asus ROG Gladius III Wireless AimPoint EVA-02 Edition,,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Red / Black
MSI Clutch GM20 Elite,24.99,Optical,Wired,6400,Right,Black
Logitech MX310,186.39,Optical,Wired,,Both,Black / Silver
Razer DeathAdder Essential,,Optical,Wired,6400,Right,Black / Green
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,White / Blue
Keychron M7,54.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Corsair KATAR PRO XT,34.99,Optical,Wired,12400,Right,Black
Logitech Signature M650,36.94,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Pink
BenQ Zowie S2-DW,149.99,Optical,Wireless,3200,Right,Black / Red
SteelSeries Aerox 3 (2022),39.99,Optical,Wired,8500,Right,White
Microsoft Mobile Mouse 6000,299.99,Laser,Wireless,,,Purple
Corsair M55,29.99,Optical,Wired,16000,Right,Black
HP 265A9AA,9.1,Optical,Wired,1200,Both,Black
Cooler Master MM311,39.59,Optical,"Wired, Wireless",10000,Right,White
Endgame Gear XM2 8k,84.99,Optical,Wired,26000,Right,Black
Corsair KATAR PRO,49.98,Optical,Wireless,10000,Right,Black
Razer DeathAdder Chroma,49.99,Optical,Wired,10000,Right,Black
EVGA X20,29.44,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black / Silver
Glorious Model O-,45.73,Optical,Wired,12000,Right,White
Dell MS116,8.17,Optical,Wired,1000,Both,Black
ROCCAT Kone XP Air,,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,Black
NZXT Lift 2 Ergo,20.98,Optical,Wired,26000,Right,White
Logitech MX Anywhere 3S,69.99,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Black
Corsair M65 PRO RGB FPS,,Optical,Wired,12000,Right,Black
Logitech G Pro X Superlight,,Optical,Wireless,25400,Right,Pink
Logitech MX Ergo S,99.99,Trackball,"Wired, Wireless, Bluetooth Wireless",2048,Right,Black
ROCCAT KONE Pro Air,50.83,Optical,Wireless,19000,Right,White
FinalMouse Air58 Ninja,,Optical,Wired,3200,Right,Blue
Logitech G305 LIGHTSPEED,37.99,Optical,"Wired, Wireless",12000,Right,Blue / Green
Logitech G309 LIGHTSPEED,59.99,Optical,"Wireless, Bluetooth Wireless",25600,Right,White
Logitech G305 LIGHTSPEED,39.22,Optical,"Wired, Wireless",12000,Right,Teal / Purple
UtechSmart Venus,32.99,Laser,Wired,16400,Right,Black
Logitech LIFT,59,Optical,"Wireless, Bluetooth Wireless",4000,Right,Black
Mad Catz The Authentic R.A.T 8+,99.99,Optical,Wired,16000,Right,Black
Kensington K72356US,7.99,Optical,Wired,,Both,Black
Genius DX 110,7.17,Optical,Wired,1000,Both,Black
A4Tech Bloody V7,34.99,Optical,Wired,3200,Both,Black / Red
HP HyperX Pulsefire Haste 2 Core,44.78,Optical,"Wireless, Bluetooth Wireless",12000,Right,White
Logitech M240 Silent,19.98,Optical,Bluetooth Wireless,4000,Both,Black
Logitech G403 Prodigy,175.16,Optical,Wireless,12000,Right,Black
Razer Basilisk,,Optical,Wired,16000,Right,Pink
GameMax Tornado,,Optical,Wired,2000,Right,Black
HP HyperX Pulsefire Haste,,Optical,Wireless,16000,Right,White
Keychron M7,54.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Asus ROG Keris AimPoint,64.38,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,White
Gigabyte AORUS M5,69,Optical,Wired,16000,Right,Black
Glorious Model I,79,Optical,Wired,19000,Right,Black / Red
Razer Naga X,,Optical,Wired,18000,Right,Black
Logitech G502 Proteus Core,,Optical,Wired,12000,Right,Black / Blue
Redragon Centrophorus M601,,Optical,Wired,2000,Right,Black / Red
Asus ROG Spatha,,Laser,Wireless,8200,Right,Black
SteelSeries Prime Wireless,69.98,Optical,Wireless,18000,Right,Black
Asus TUF Gaming M3,34.99,Optical,Wired,7000,Right,Black
SteelSeries Aerox 3,64.45,Optical,Wired,8500,Right,Black
Cooler Master MM710 Glossy Black,22.99,Optical,Wired,16000,Right,Black
ROCCAT Burst Pro,43.74,Optical,Wired,16000,Right,Black
Razer Mamba Tournament Edition,89,Laser,Wired,16000,Right,Black
SteelSeries Sensei 310,,Optical,Wired,12000,Both,Black
Swiftpoint Z2,,Optical,Wired,26000,Right,Black
Glorious Model D 2 PRO,49.99,Optical,"Wired, Wireless",26000,Right,Black
ROCCAT Burst Pro,24.99,Optical,Wired,16000,Right,White
HP HyperX Pulsefire Haste,45.9,Optical,Wired,16000,Right,White / Pink
Razer DeathAdder,187.73,Laser,Wired,3500,Left,Black
HP Z3Q64AA,14.44,Optical,Wired,1600,Both,Black
Logitech MX MASTER 3,99.99,Laser,"Wired, Wired, Wireless, Bluetooth Wireless",4000,Right,Black
TeckNet M268-Black,,Optical,Wired,3000,Right,Black
HP HyperX Pulsefire FPS Pro,49.85,Optical,Wired,16000,Right,Black
Corsair M65 RGB ELITE,,Optical,Wired,17995,Right,White
SteelSeries Sensei Ten,134.24,Optical,Wired,18000,Right,Black
Asus ROG Strix Impact III,49.99,Optical,"Wireless, Bluetooth Wireless",36000,Right,Black
Adesso HC-3003PS,7.95,Optical,Wired,1000,Both,Black
Logitech M317,17.98,Optical,"Wired, Wireless",1000,Both,Black
Dell Alienware AW610M,59.99,Optical,Wired,16000,Right,Black
Razer Pro Click,77.84,Optical,Wireless,16000,Right,White
Cherry MC 1000,9.94,Optical,Wired,1200,Both,Black
Logitech LIFT,59.99,Optical,"Wireless, Bluetooth Wireless",4000,Right,White
Razer Naga Chroma,,Laser,Wired,16000,Right,Black
Pulsar X2V2,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
NZXT Lift 2 Symm,20.98,Optical,Wired,26000,Right,Black
Logitech G703 (Black),65.88,Optical,Wireless,12000,Right,Black
Logitech G203 Prodigy,37.79,Optical,Wired,6000,Right,Black
Pulsar Xlite V3 Large,,Optical,"Wired, Wireless",2600,Right,Black
A4Tech Bloody AL90,59.99,Laser,Wired,,Right,Black
Razer DeathAdder V2 Mini,61.5,Optical,Wired,8500,Right,Black
HP HyperX Pulsefire Haste 2,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
DLAND ZELOTES,,Optical,Wired,7200,Right,Black
Razer Mamba Wireless 2018,119.99,Optical,Wireless,16000,Right,Black / Green
MSI CLUTCH,25.5,Optical,Wired,6400,Right,Black
Redragon Perdition,,Laser,Wired,16400,Right,Black / Red
Logitech G303 SHROUD EDITION,67.98,Optical,Wireless,25000,Right,Black
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000,Right,White
Corsair M55,42.99,Optical,"Wireless, Bluetooth Wireless",24000,Right,Black
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000,Right,Black
Keychron M1,46.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech Signature M650,39.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Logitech PRO 2 LIGHTSPEED,129.99,Optical,"Wired, Wireless",32000,Both,Pink
Razer Lancehead Tournament Edition,161.51,Optical,Wired,16000,Both,Pink
