name,price,type,interface,capacity,price_per_gb,color
Kingston XS2000,59.99,Portable,USB Type-C 3.2 Gen 2x2,500,0.12,Silver
TEAMGROUP PD20 Eco Mini,122.99,Portable,USB Type-C,2000,0.061,White / Green
TEAMGROUP PD20 Eco Mini,70.98,Portable,USB Type-C,1000,0.071,White / Green
Western Digital easystore,175.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",8000,0.022,Black
Corsair EX400U,,Portable,USB Type-C 4.0 Gen 3x2,1000,,Black
SanDisk SDSSDT40-4T00-NA25,279.99,Desktop,USB Type-C 3.2 Gen 2,4000,0.07,Black
Seagate One Touch,133.1,Desktop,USB Type-A 3.2 Gen 1,4000,0.033,Black
Western Digital My Book,234,Desktop,USB Type-A 3.2 Gen 2,12000,0.019,Black
SanDisk Professional PRO-Blade Transport,219.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.11,Black
TEAMGROUP PD1000,72.98,Portable,USB Type-C 3.2 Gen 2,1000,0.073,Teal
Western Digital My Book,179,Desktop,USB Type-A 3.2 Gen 1,2000,0.089,
Silicon Power Bolt B75 Pro,,Portable,USB Type-C 3.2 Gen 2,1000,,Black
Sabrent Rocket Nano V2,349.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.087,Black
Samsung T7 Shield,99.99,Portable,USB Type-C 3.2 Gen 2,1000,0.1,Beige
Samsung T7 Portable,279,Portable,USB Type-C 3.2 Gen 2,2000,0.139,Black
Apricorn Aegis Padlock DT,1179,Desktop,USB Type-A 3.2 Gen 1,20000,0.059,Black
Apricorn Aegis Padlock DT,441.5,Desktop,USB Type-A 3.2 Gen 1,6000,0.074,Black
Seagate Backup Plus Hub,,Desktop,USB Type-A 3.2 Gen 1,14000,,Black
Seagate Expansion,329.95,Desktop,USB Type-A 3.2 Gen 1,14000,0.024,Black
Western Digital easystore,,Desktop,USB Type-A 3.2 Gen 2,10000,,Black
Western Digital My Book,,Desktop,USB Type-A 3.2 Gen 1,3000,,Black
G-Technology G-DRIVE,,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",4000,,
Seagate Expansion,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Desk,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Seagate FreeAgent GoFlex Desk,,Desktop,USB Type-A 2.0,1000,,
Western Digital ELEMENTS,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Western Digital My Book,219.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.055,
Western Digital My Book,199.98,Desktop,USB Type-A 3.2 Gen 1,3000,0.067,
Buffalo Technology DriveStation Duo,,Desktop,USB Type-A 3.2 Gen 1,8000,,
Buffalo Technology DriveStation Axis Velocity,,Desktop,USB Type-A 3.2 Gen 1,2000,,
TEAMGROUP M200,343.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.086,Black
Lexar SL500,177.9,Portable,USB Type-C 3.2 Gen 2x2,2000,0.089,Black
Lexar SL100 Pro,,Portable,USB Type-C 3.2 Gen 1,500,,Black
Lexar SL660 BLAZE,109.31,Portable,USB Type-C 3.2 Gen 2x2,1000,0.109,Black
Sabrent Rocket XTRM-Q,,Portable,USB Type-C 3.2 Gen 2,2000,,Black
Sabrent Rocket XTRM-Q,,Portable,USB Type-C 3.2 Gen 2,500,,Black
Apricorn Aegis Padlock 3.0,2662.5,Portable,USB Type-A 3.2 Gen 1,8000,0.333,Black
Apricorn Aegis Padlock 3.0,1267.5,Portable,USB Type-A 3.2 Gen 1,4000,0.317,Black
Apricorn Aegis Fortress,,Portable,USB Type-A 3.2 Gen 1,16000,,Black
Silicon Power Bolt B75,58.48,Portable,USB Type-C 3.2 Gen 1,480,0.122,Silver
Seagate Barracuda Fast,,Portable,USB Type-C,1000,,Black
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,2000,,Red
Seagate One Touch,101,Portable,USB Type-A 3.2 Gen 1,1000,0.101,Silver
Seagate One Touch,124.74,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.125,Blue
Samsung T3 Portable,,Portable,USB Type-C 3.2 Gen 1,250,,
Sabrent ROCKET XTRM,,Portable,Thunderbolt,4000,,Silver
Apacer AS721,,Portable,USB Type-C 3.2 Gen 1,1000,,Black
Western Digital My Passport,69.98,Portable,USB Type-A 3.2 Gen 1,1000,0.07,Red
Western Digital My Passport,69.98,Portable,USB Type-A 3.2 Gen 1,1000,0.07,Blue
Western Digital My Passport,164.99,Portable,USB Type-A 3.2 Gen 1,4000,0.041,Black
Samsung T5,189.99,Portable,USB Type-C 3.2 Gen 1,250,0.76,Blue
Lenovo ThinkPad,,Portable,USB Type-A 3.2 Gen 1,1000,,
Western Digital ELEMENTS,159.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.027,Black
Verbatim Titan XS,123.04,Portable,,1000,0.123,
Seagate One Touch,309.26,Desktop,USB Type-A 3.2 Gen 1,14000,0.022,Black
Samsung T7 Shield,159,Portable,USB Type-C 3.2 Gen 2,2000,0.08,Beige
Seagate One Touch,168.71,Desktop,USB Type-A 3.2 Gen 1,6000,0.028,Black
Seagate Backup Plus,,Portable,USB Type-A 3.2 Gen 1,4000,,
LaCie Rugged Mini,79.99,Portable,USB Type-A 3.2 Gen 1,1000,0.08,
Apricorn Padlock DT FIPS,1057.54,Desktop,USB Type-A 3.2 Gen 1,20000,0.053,Black
Seagate One Touch,88.98,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.089,Black
Samsung T7 Shield,99.99,Portable,USB Type-C 3.2 Gen 2,1000,0.1,Blue
Samsung T7 Portable,,Portable,USB Type-C 3.2 Gen 2,1000,,Black
Western Digital My Passport,67.99,Portable,USB Type-A 3.2 Gen 1,1000,0.068,White
Samsung T7 Portable,129.99,Portable,USB Type-C 3.2 Gen 1,2000,0.065,Blue / Silver
Buslink DL-4TSDU31G2,569.88,Portable,USB Type-A 3.2 Gen 2,4000,0.142,Black
Transcend StoreJet,91.99,Portable,USB Type-A 3.2 Gen 1,2000,0.046,
Apricorn Aegis Padlock,488,Portable,USB Type-A 3.2 Gen 1,128,3.812,
Seagate Backup Plus Slim,169.99,Portable,USB Type-A 3.2 Gen 1,2000,0.085,
Seagate Backup Plus,,Desktop,USB Type-A 3.2 Gen 1,4000,,Black
Western Digital easystore,,Desktop,USB Type-A 3.2 Gen 1,12000,,
Western Digital My Book Duo,,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",12000,,Black
Western Digital My Book Duo,,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,,Black
Western Digital easystore,,Desktop,USB Type-A 3.2 Gen 1,4000,,Black
Seagate Backup Plus Hub,364.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.036,Black
G-Technology G-DRIVE,,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",2000,,
Toshiba Canvio Desk,,Desktop,USB Type-A 3.2 Gen 1,5000,,
Toshiba Canvio Desk,228.88,Desktop,USB Type-A 3.2 Gen 1,3000,0.076,
Toshiba Canvio Desk,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Seagate Backup Plus,225.21,Desktop,USB Type-A 3.2 Gen 1,4000,0.056,
Seagate Backup Plus,199,Desktop,USB Type-A 3.2 Gen 1,3000,0.066,
Samsung D3 Station,,Desktop,USB Type-A 3.2 Gen 1,6000,,
Samsung D3 Station,,Desktop,USB Type-A 3.2 Gen 1,5000,,
Samsung D3 Station,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Samsung D3 Station,,Desktop,,4000,,
LaCie 5big,,Desktop,Thunderbolt,25000,,
LaCie 4big Quadra,,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",16000,,
Western Digital My Book Thunderbolt Duo,,Desktop,Thunderbolt,4000,,
LaCie Minimus,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Buffalo Technology DriveStation,,Desktop,Thunderbolt,512,,
TEAMGROUP PD20M Mag,78.29,Portable,USB Type-C 3.2 Gen 2,1000,0.078,Black
Sabrent Rocket Pro,,Portable,USB Type-C 3.2 Gen 2,1000,,Silver
Apricorn Aegis Fortress,769,Portable,USB Type-A 3.2 Gen 1,2000,0.385,Black
Apricorn NVX,538.39,Portable,USB Type-C 3.2 Gen 2,1000,0.538,Black
Apricorn Aegis Fortress L3,2799,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",8000,0.35,Black
Apricorn Aegis Fortress L3,669.41,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",2000,0.335,Black
Apricorn Aegis Fortress L3,,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",512,,Black
Apricorn Aegis Fortress L3,236.19,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",1000,0.236,Black
Apricorn Aegis Fortress L3,227.99,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",500,0.456,Black
Silicon Power Bolt B75 Pro,,Portable,USB Type-C 3.2 Gen 2,256,,Black
Seagate Expansion,,Portable,USB Type-C 3.2 Gen 1,500,,Black
Sabrent Rocket Nano V2,99.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.1,Black
Sabrent Rocket Nano V2,169.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.085,Black
LaCie Rugged Mini,90.6,Portable,USB Type-A 3.2 Gen 1,2000,0.045,Orange / Silver
Crucial X8,,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",1000,,Black
Western Digital My Passport For Mac,152.88,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",1000,0.153,Black
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,5000,,Gray
Seagate One Touch,209,Portable,USB Type-A 3.2 Gen 1,5000,0.042,Red
Seagate One Touch,127.99,Portable,USB Type-A 3.2 Gen 1,2000,0.064,Silver
Seagate One Touch,85.94,Portable,USB Type-A 3.2 Gen 1,1000,0.086,Black
Seagate One Touch,78.56,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,0.157,Black
Samsung T3 Portable,,Portable,USB Type-C 3.2 Gen 1,500,,
Samsung T5 Portable,,Portable,USB Type-C 3.2 Gen 2,1000,,Gold
Western Digital My Passport Ultra,,Portable,USB Type-A 3.2 Gen 2,3000,,White
SanDisk Extreme Portable V2,89.99,Portable,USB Type-C 3.2 Gen 1,500,0.18,Black / Orange
Samsung T7 Portable,142.66,Portable,USB Type-C 3.2 Gen 1,1000,0.143,Red / Silver
Samsung T7 Portable,124.99,Portable,USB Type-C 3.2 Gen 1,500,0.25,Black / Silver
Seagate Backup Plus Ultra Touch,,Portable,USB Type-A 3.2 Gen 1,1000,,White
Seagate Backup Plus Portable,,Portable,USB Type-A 3.2 Gen 1,5000,,Black
Seagate Backup Plus Portable,,Portable,USB Type-A 3.2 Gen 1,5000,,Blue
ADATA SD600,,Portable,USB Type-A 3.2 Gen 1,512,,
Seagate STDR5000100,,Portable,,5000,,
