name,price,type,efficiency,wattage,modular,color
Super Flower Leadex V Platinum Pro,,ATX,platinum,1000,Full,White
Enermax REVOLUTION D.F. 2,131.32,ATX,gold,1050,Full,Black
Cooler Master G Gold 750 V2,,ATX,gold,750,false,Black
SeaSonic FOCUS Gold,,ATX,gold,750,Semi,
GameMax GP,,ATX,bronze,400,false,Black
Thermaltake TPD-0550M,,ATX,gold,550,Semi,
SeaSonic FOCUS GX-850 ATX 3.0,,ATX,gold,850,Full,Black
Corsair VS350,,ATX,plus,350,false,Black
Silverstone SX1000-LPT,285.41,SFX,platinum,1000,Full,Black
Super Flower Leadex Titanium,,ATX,titanium,1000,Full,Black
Corsair CX450M (2015),199.99,ATX,bronze,450,Semi,
Asus ROG THOR 1200P,,ATX,platinum,1200,Full,Black
EVGA 850 GQ,,ATX,gold,850,Semi,
Cooler Master G800,,ATX,gold,800,false,Black
Gigabyte UD850GM PG5 (rev. 2.0),143.69,ATX,gold,850,Full,Black
Super Flower Leadex,,ATX,platinum,2000,Full,
Corsair CX550M,140,ATX,bronze,550,Semi,
Cooler Master V Platinum V2,309.99,ATX,platinum,1600,Full,Black / Purple
Cooler Master MWE Bronze V2,,ATX,bronze,550,false,Black
Silverstone DA650 Gold,,ATX,gold,650,Full,Black / White
Gigabyte P650SS,,ATX,silver,650,false,Black
Corsair RM1200e,,ATX,gold,1200,Full,Black
Super Flower Zillion FG,116.99,ATX,gold,1050,Full,Black
Asus ROG Strix,124.99,ATX,gold,750,Full,Black / Red
EVGA 600 BQ,,ATX,bronze,600,Semi,
NZXT C850 (2022),,ATX,gold,850,Full,Black
Asus ROG Strix,269.49,ATX,gold,850,Full,White
KOLINK ENCLAVE,,ATX,gold,500,Full,Black
ASRock Steel Legend SL-750G,79.99,ATX,gold,750,Full,Black
Gigabyte P550SS,,ATX,silver,550,false,Black
Corsair CX600,138,ATX,bronze,600,false,
EVGA SuperNOVA 650 G2,,ATX,gold,650,Full,
Silverstone FX500-G,140.99,Flex ATX,gold,500,false,Black
Corsair RM750x,159.87,ATX,gold,750,Full,
Corsair RM650x (2021),,ATX,gold,650,Full,Black
Corsair AX1500i,689.01,ATX,titanium,1500,Full,
Deepcool PM850D,,ATX,gold,850,false,Black
Super Flower LEADEX VII Platinum PRO,259.99,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 1000 G+,,ATX,gold,1000,Full,Black
EVGA SuperNOVA 1600 G+,272.82,ATX,gold,1600,Full,Black
ARESGAME AGV,,ATX,bronze,750,Semi,Black
Fractal Design Ion Gold,165.54,ATX,gold,850,Full,Black
EVGA SuperNOVA 550 G2,,ATX,gold,550,Full,
Gigabyte AORUS ELITE P1000,209.99,ATX,platinum,1000,Full,Black
Silverstone HELA 1200R,269.55,ATX,platinum,1200,Full,Black
Vetroo GV1000,129.99,ATX,gold,1000,Full,Pink
Silverstone FX600 Platinum,175.4,Flex ATX,,600,false,Black
Silverstone DA750R-GMA,,ATX,gold,750,Full,White
SeaSonic PRIME TX-850,404.21,ATX,titanium,850,Full,Black
Rosewill CMG1000G5,99.99,ATX,gold,1000,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,450,false,Black
Corsair CX500M,,ATX,bronze,500,Semi,
EVGA SuperNOVA 850 GT,,ATX,gold,850,Full,Black
Corsair TX650M Gold,,ATX,gold,650,Semi,
EVGA SuperNOVA 850 G5,,ATX,gold,850,Full,Black / Green
Corsair RM750,,ATX,gold,750,Full,Black
be quiet! Straight Power 11 750W,,ATX,gold,750,Full,
Corsair RM850x White,,ATX,gold,850,Full,White / Black
Asus ROG Strix Aura Edition,184.99,ATX,gold,850,Full,Black
SeaSonic FOCUS GX-750 ATX 3.0,200,ATX,gold,750,Full,Black
Corsair TX550M Gold,,ATX,gold,550,Semi,
SeaSonic VERTEX GX-850,149.99,ATX,gold,850,Full,Black / Silver
EVGA SuperNOVA 1300 GT,,ATX,gold,1300,Full,Black
Asus ROG THOR 850P,,ATX,platinum,850,Full,Black / Red
Super Flower Leadex III Gold,169,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 GT,,ATX,gold,650,Full,Black
Cooler Master MWE Bronze V2,157.93,ATX,bronze,750,false,Black
SeaSonic PRIME PX-1600 ATX 3.0,445.99,ATX,platinum,1600,Full,Black / Silver
be quiet! Pure Power 11,,ATX,bronze,300,false,Black
Deepcool PQ1000M,,ATX,gold,1000,Full,Black
Silverstone SFX,96.02,SFX,bronze,450,false,Black
Gigabyte P-B,,ATX,bronze,650,false,Black
EVGA SuperNOVA 850 G2,,ATX,gold,850,Full,
Thermalright TB-750,,ATX,bronze,750,Full,Black
be quiet! System Power 9 CM,155,ATX,bronze,400,Semi,Black
EVGA SuperNOVA 750 G5,204.99,ATX,gold,750,Full,Black / Green
SeaSonic FOCUS GX-1000 ATX 3.0,,ATX,gold,1000,Full,Black
Enermax REVOLUTION D.F. 2,109.99,ATX,gold,850,Full,Black
Logisys PS550E12BK,,ATX,,550,false,
Cooler Master G Gold 650 V2,,ATX,gold,650,false,Black
EVGA SuperNOVA 650 G5,152.49,ATX,gold,650,Full,Black / Green
SHARKOON WPM Gold Zero 550,,ATX,gold,550,Semi,Black
SeaSonic G12 GC,345.72,ATX,gold,650,false,Black / Blue
Thermaltake Toughpower GF3 TT Premium,198.87,ATX,gold,1350,Full,Black
be quiet! Pure Power 11,,ATX,gold,500,false,Black
FSP Group Hydro Pro,,ATX,bronze,500,false,Black
Corsair CX750M V2 (2017 Edition),,ATX,bronze,750,Semi,Black / White
Deepcool PK700D,,ATX,bronze,700,false,Black
Rosewill CMG1200G5,119.99,ATX,gold,1200,Full,Black
Phanteks AMP GH,,ATX,platinum,1000,Full,Black
Thermaltake Toughpower GF A3 ATX 3.0,,ATX,gold,650,Full,Black
Azza PSAZ-650W,59.99,ATX,bronze,650,false,Black
PowerSpec PS 750BSM,84.99,ATX,bronze,750,Semi,Black
Lian Li EDGE GOLD,,ATX,gold,1200,Full,White
PowerSpec PS 650BF,64.98,ATX,bronze,650,false,Black
Deepcool PN850M,,ATX,gold,850,Full,Black
be quiet! Pure Power 12,97.99,ATX,gold,650,false,Black
SeaSonic B12 BC,,ATX,bronze,850,false,
SeaSonic FOCUS Plus Platinum,,ATX,platinum,750,Full,
Thermaltake TR2 S,101.21,ATX,plus,700,false,Black
Corsair SF450 (2018),,SFX,platinum,450,Full,Black
Super Flower Zillion FG,97.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 G6,149.28,ATX,gold,650,Full,Black
Corsair VS550 (2018),,ATX,plus,550,false,
Asus ROG Strix,287.02,ATX,platinum,850,Full,Black
Thermaltake Toughpower SFX,165.99,SFX,platinum,850,Full,Black
Asus TUF Gaming,,ATX,bronze,750,false,Black
EVGA SuperNOVA 550 G3,,ATX,gold,550,Full,
SeaSonic PRIME,159.99,ATX,gold,850,Full,Black
Asus TUF Gaming B,66.2,ATX,bronze,550,false,Black
Vida Lite,,ATX,,500,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,179.99,ATX,gold,1200,Full,Black
