name,price,rpm,noise_level,color,size
Thermalright Frozen Warframe ARGB,81.09,2000,22.1,Black,360
ARCTIC Freezer 7 X,25.99,"300,2000",22.5,Black / White,
ID-COOLING FROZN A410 SE,24.99,"300,1800",24.8,Black,
ARCTIC Liquid Freezer III 420 A-RGB,119.34,"200,1900",,White,420
Gigabyte AORUS WATERFORCE II 360 ICE,119.99,"800,2300","12.8,36.9",White,360
Thermalright Aqua Elite V3,34.9,1500,25.6,Black,120
Thermalright Phantom Spirit,39.59,1500,25.6,Black / Silver,
Asus ROG Ryujin III ARGB Extreme,349.99,"1,2800",36,White,360
Asus ROG RYUJIN II ARGB,479.99,,,Black,360
Corsair iCUE LINK H100i RGB,99.99,"480,2400",,White,240
Noctua NH-L9x65,59.95,"600,2500","14.8,23.6",,
Noctua NH-L9i,44.95,"600,2500","14.8,23.6",Brown,
MSI MAG CORELIQUID E360,122.99,,,Black,360
Deepcool MYSTIQUE 360,,"500,2150",36.49,Black,360
be quiet! Pure Loop 2 FX,154,,"8,34",Black,360
be quiet! Pure Rock LP,59.99,2500,,Black,
Thermalright Frozen Prism ARGB,55.39,1850,27,White,360
Thermalright Assassin X 120 R Digital ARGB,24.9,2000,29.8,Black,
NZXT T120 RGB,34.99,"500,1800","17.2,27.5",Black,
Thermalright Mjolnir Vision 360 ARGB,118.9,2150,27,White,360
Lian Li Galahad II Trinity Performance,,"2300,3000","32.1,39.9",Black,360
Thermalright Assassin X Refined SE RGB,19.29,1550,25.6,White / Silver,
Thermalright Peerless Assassin 140,43.9,1500,25.6,Black,
Cooler Master MasterLiquid 360 Atmos,139.99,"690,2500",27.2,Black,360
Corsair iCUE LINK H150i RGB,331.72,"480,2400",,Black,360
Phanteks Glacier One 360M25 G2,99.99,"350,2000",35.13,Black,360
Thermaltake TH360 V2 ARGB Sync,99.99,"500,2000",25.8,Black,360
Cooler Master MasterLiquid 120L Core,64.98,"650,1750",27.2,Black,120
Deepcool AG400,,"500,2000",31.6,Black / Silver,
Noctua NH-U12S,74.95,"300,1500","18.6,22.4",,
ID-COOLING SE-214-XT PLUS,19.98,"700,1800",35.2,Black / Silver,
be quiet! Dark Rock Elite,126.62,"1500,2000","11,25.8",Black,
ARCTIC Liquid Freezer II 360,,"800,2000",,Black,360
Asus TUF Gaming LC II ARGB,149.99,"800,2000",29,Black,360
Corsair iCUE LINK H100i LCD,156.59,"480,2400",,Black,240
Thermaltake Gravity i2,12.78,1800,21.3,,
Montech HyperFlow ARGB 360,99.9,2200,29.1,White,360
Cooler Master MasterLiquid 240L Core,156.84,"650,1750",27.2,Black,240
ID-COOLING FROSTFLOW X,51.29,"800,1600","16.8,32.6",Black / Silver,280
NZXT Kraken Elite 280 RGB,,"500,1500",34.48,White,280
Corsair iCUE H170i ELITE CAPELLIX,294.08,2000,"10,37",Black,420
NZXT Kraken Elite 240,239.99,"500,1800","17.9,30.6",Black,240
MSI MAG CORELIQUID A13,88.77,,,Black,360
NZXT Kraken X53,,"500,2000","21,36",Black,240
Thermalright Assassin X Refined SE PLUS,19.79,1550,25.6,Black / Silver,
Thermalright Frozen Infinity 360 ARGB,57.9,2000,28.2,White,360
Corsair iCUE LINK H150i RGB,249.99,"480,2400",,White,360
Thermaltake UX200 SE ARGB,34.98,"800,1800",25,White,
Thermalright Frozen Infinity 240 ARGB,47.9,2000,28.2,Black,240
be quiet! Dark Rock 4,164.99,1400,,Black,
Asus ROG RYUO III 360 ARGB,199.99,2200,36.45,Black,360
NZXT Kraken Z73,,"500,1800","21,36",Black,360
Corsair H100i v2,322.3,2435,37.7,,240
be quiet! Silent Loop 2 360,238.91,2200,"17.7,39.8",Black,360
Corsair iCUE LINK H115i RGB,79.99,"400,2000",,Black,280
ARCTIC Liquid Freezer III 280 A-RGB,101.63,"200,1900",,White,280
Corsair iCUE LINK TITAN 240 RX RGB,130.99,"300,2100",,Black,240
ARCTIC Freezer 34 eSports DUO,50.89,"200,2100",24.4,White / Black,
Noctua NH-L9i-17xx,44.95,"600,2500","14.8,23.6",Brown / Beige,
